sample_id,dataset,task,question,answer,answers,metadata,has_image
textvqa_55,textvqa,textvqa,what country is this museum for?,united states,"[""united states"", ""the united states patent and trademark office museum"", ""usa"", ""usa"", ""us"", ""united states"", ""united states"", ""the united states"", ""united states"", ""united states""]","{""raw_index"": 55, ""image_id"": ""77b8576e0b407ab1""}",True
textvqa_10,textvqa,textvqa,what is the name of this series of books?,encyclopedia de mexico,"[""oracle olds"", ""encyclopedia de mexico"", ""mack"", ""encyclopedia de mexico"", ""encyclopedia de mexico"", ""encylopedia de mexico"", ""encyclopedia de mexico"", ""encyclopedia"", ""encyclopedia of mexico"", ""encyclopedia de mexico""]","{""raw_index"": 10, ""image_id"": ""0217600e51a09374""}",True
textvqa_73,textvqa,textvqa,what channel is the tv on?,29,"[""29"", ""29"", ""29"", ""bbc world"", ""bbc world"", ""29"", ""29"", ""29"", ""29"", ""29""]","{""raw_index"": 73, ""image_id"": ""38c3e0a498d056ed""}",True
textvqa_78,textvqa,textvqa,what is the product name?,ibangle,"[""ibangle"", ""ibangle"", ""ibangle"", ""ibangle"", ""ibangle"", ""ibangle"", ""ibangel"", ""ibangle"", ""ibangle"", ""ibangle""]","{""raw_index"": 78, ""image_id"": ""fe7bdbc8c6284075""}",True
textvqa_15,textvqa,textvqa,who is the artist on the billboard?,beck,"[""beck"", ""beck"", ""beck"", ""beck"", ""beck"", ""beck"", ""beck"", ""beck"", ""beck"", ""beck""]","{""raw_index"": 15, ""image_id"": ""b6d5d47d85d7f53e""}",True
textvqa_70,textvqa,textvqa,which brand are these shampoo products from?,vendome,"[""vendome"", ""vendome"", ""vendome"", ""vendome"", ""vendome"", ""vendome"", ""vendome"", ""vendome"", ""vendome"", ""vendome""]","{""raw_index"": 70, ""image_id"": ""0bd1777cb043f6a4""}",True
textvqa_1,textvqa,textvqa,what colored word can be seen on the billboard?,orange,"[""car talk"", ""orange"", ""bargain"", ""s"", ""orange"", ""bargain"", ""orange"", ""orange"", ""orange"", ""orange""]","{""raw_index"": 1, ""image_id"": ""85800ea6436b6b94""}",True
textvqa_50,textvqa,textvqa,what is the product designed to be used on?,face and body,"[""face and body"", ""face and body"", ""witch hazel"", ""face and body"", ""face and body"", ""face & body"", ""for face and body"", ""face and body"", ""face and body"", ""face and body""]","{""raw_index"": 50, ""image_id"": ""97c5ed8eb1005a65""}",True
textvqa_65,textvqa,textvqa,what airlines is this?,vietnam airlines,"[""vietnam airlines"", ""vietnam airlines"", ""vietnam airlines"", ""vietnam"", ""vietnam"", ""vietnam airline"", ""vietnam"", ""vietnam airlines"", ""vietnam airlines"", ""vietnam airlines""]","{""raw_index"": 65, ""image_id"": ""00577aade86fc041""}",True
textvqa_9,textvqa,textvqa,what is the title of the book?,trail of the dead,"[""trail of the dead"", ""trail of the dead"", ""trail of the dead"", ""trail of the dead"", ""trail of the dead"", ""trail of the dead"", ""trial of the dead"", ""trail of the dead"", ""trail of the dead"", ""trail of the dead""]","{""raw_index"": 9, ""image_id"": ""096618636a677ed4""}",True
textvqa_91,textvqa,textvqa,what year is the penny?,2012,"[""2012"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012""]","{""raw_index"": 91, ""image_id"": ""fc0bbd346954d168""}",True
textvqa_41,textvqa,textvqa,what is the brand of hot sauce on the bottom left of the cabinet?,crystal,"[""crystal"", ""crystale"", ""cyrstal"", ""crystal"", ""crystal"", ""crystal"", ""crystal"", ""crystal"", ""crystal"", ""crystal""]","{""raw_index"": 41, ""image_id"": ""f02786677b68aa51""}",True
textvqa_42,textvqa,textvqa,what number is the player in white?,1,"[""1"", ""1"", ""1"", ""werft zammin"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1""]","{""raw_index"": 42, ""image_id"": ""c721db45e54e2927""}",True
gqa_81,gqa,gqa,Where is the pump?,floor,"[""floor""]","{""raw_index"": 81, ""qa_index"": 0, ""image_id"": ""81"", ""full_answer"": ""The pump is on the floor."", ""num_available_qa_pairs"": 11}",True
gqa_14,gqa,gqa,Is the floor made of hardwood or brick?,hardwood,"[""hardwood""]","{""raw_index"": 14, ""qa_index"": 0, ""image_id"": ""14"", ""full_answer"": ""The floor is made of hardwood."", ""num_available_qa_pairs"": 49}",True
gqa_3,gqa,gqa,What vehicle is it?,carriage,"[""carriage""]","{""raw_index"": 3, ""qa_index"": 0, ""image_id"": ""3"", ""full_answer"": ""The vehicle is a carriage."", ""num_available_qa_pairs"": 22}",True
gqa_94,gqa,gqa,Is there either an large owl or cat in this photograph?,yes,"[""yes""]","{""raw_index"": 94, ""qa_index"": 0, ""image_id"": ""94"", ""full_answer"": ""Yes, there is a large owl."", ""num_available_qa_pairs"": 13}",True
gqa_35,gqa,gqa,Is the man to the left or to the right of the toilet in this scene?,left,"[""left""]","{""raw_index"": 35, ""qa_index"": 0, ""image_id"": ""35"", ""full_answer"": ""The man is to the left of the toilet."", ""num_available_qa_pairs"": 14}",True
gqa_31,gqa,gqa,Are there either trains or windows in the picture?,no,"[""no""]","{""raw_index"": 31, ""qa_index"": 0, ""image_id"": ""31"", ""full_answer"": ""No, there are no windows or trains."", ""num_available_qa_pairs"": 10}",True
gqa_28,gqa,gqa,Is the person on the beach wearing a coat?,no,"[""no""]","{""raw_index"": 28, ""qa_index"": 0, ""image_id"": ""28"", ""full_answer"": ""No, the woman is wearing a shirt."", ""num_available_qa_pairs"": 18}",True
gqa_17,gqa,gqa,Which side is the person on?,left,"[""left""]","{""raw_index"": 17, ""qa_index"": 0, ""image_id"": ""17"", ""full_answer"": ""The person is on the left of the image."", ""num_available_qa_pairs"": 6}",True
gqa_13,gqa,gqa,Which place is it?,zoo,"[""zoo""]","{""raw_index"": 13, ""qa_index"": 0, ""image_id"": ""13"", ""full_answer"": ""It is a zoo."", ""num_available_qa_pairs"": 3}",True
gqa_86,gqa,gqa,Is the ground red and tall?,no,"[""no""]","{""raw_index"": 86, ""qa_index"": 0, ""image_id"": ""86"", ""full_answer"": ""No, the ground is tall but green."", ""num_available_qa_pairs"": 6}",True
gqa_69,gqa,gqa,Does the silver device look open or closed?,open,"[""open""]","{""raw_index"": 69, ""qa_index"": 0, ""image_id"": ""69"", ""full_answer"": ""The telephone is open."", ""num_available_qa_pairs"": 9}",True
gqa_11,gqa,gqa,Is the field green or brown?,green,"[""green""]","{""raw_index"": 11, ""qa_index"": 0, ""image_id"": ""11"", ""full_answer"": ""The field is green."", ""num_available_qa_pairs"": 13}",True
gqa_75,gqa,gqa,Who is in front of the catcher?,man,"[""man""]","{""raw_index"": 75, ""qa_index"": 0, ""image_id"": ""75"", ""full_answer"": ""The man is in front of the catcher."", ""num_available_qa_pairs"": 13}",True
gqa_54,gqa,gqa,What color is that sky?,light blue,"[""light blue""]","{""raw_index"": 54, ""qa_index"": 0, ""image_id"": ""54"", ""full_answer"": ""The sky is light blue."", ""num_available_qa_pairs"": 7}",True
gqa_4,gqa,gqa,Is there either a black duck or seal?,no,"[""no""]","{""raw_index"": 4, ""qa_index"": 0, ""image_id"": ""4"", ""full_answer"": ""No, there is a duck but it is yellow."", ""num_available_qa_pairs"": 12}",True
gqa_97,gqa,gqa,Does the clock have a different color than the entrance?,yes,"[""yes""]","{""raw_index"": 97, ""qa_index"": 0, ""image_id"": ""97"", ""full_answer"": ""Yes, the clock is black and the entrance is white."", ""num_available_qa_pairs"": 7}",True
gqa_88,gqa,gqa,What is the lady wearing?,suit,"[""suit""]","{""raw_index"": 88, ""qa_index"": 0, ""image_id"": ""88"", ""full_answer"": ""The lady is wearing a suit."", ""num_available_qa_pairs"": 7}",True
gqa_27,gqa,gqa,On which side is the van?,left,"[""left""]","{""raw_index"": 27, ""qa_index"": 0, ""image_id"": ""27"", ""full_answer"": ""The van is on the left of the image."", ""num_available_qa_pairs"": 11}",True
gqa_29,gqa,gqa,Are there cabinets in this scene?,no,"[""no""]","{""raw_index"": 29, ""qa_index"": 0, ""image_id"": ""29"", ""full_answer"": ""No, there are no cabinets."", ""num_available_qa_pairs"": 6}",True
gqa_64,gqa,gqa,What animal is in front of the animal that is not large?,giraffe,"[""giraffe""]","{""raw_index"": 64, ""qa_index"": 0, ""image_id"": ""64"", ""full_answer"": ""The giraffe is in front of the animal."", ""num_available_qa_pairs"": 12}",True
gqa_77,gqa,gqa,Is there a bus in the street the people are on the side of?,no,"[""no""]","{""raw_index"": 77, ""qa_index"": 0, ""image_id"": ""77"", ""full_answer"": ""No, there is a car in the street."", ""num_available_qa_pairs"": 11}",True
gqa_84,gqa,gqa,Does the jacket look gray?,no,"[""no""]","{""raw_index"": 84, ""qa_index"": 0, ""image_id"": ""84"", ""full_answer"": ""No, the jacket is red."", ""num_available_qa_pairs"": 6}",True
gqa_71,gqa,gqa,Are there both a helmet and a bike in the picture?,yes,"[""yes""]","{""raw_index"": 71, ""qa_index"": 0, ""image_id"": ""71"", ""full_answer"": ""Yes, there are both a bike and a helmet."", ""num_available_qa_pairs"": 11}",True
gqa_25,gqa,gqa,The light post is on what?,pole,"[""pole""]","{""raw_index"": 25, ""qa_index"": 0, ""image_id"": ""25"", ""full_answer"": ""The light post is on the pole."", ""num_available_qa_pairs"": 2}",True
gqa_89,gqa,gqa,What is the man to the left of the woman wearing?,life jacket,"[""life jacket""]","{""raw_index"": 89, ""qa_index"": 0, ""image_id"": ""89"", ""full_answer"": ""The man is wearing a life vest."", ""num_available_qa_pairs"": 21}",True
gqa_53,gqa,gqa,What do you think is on the wall?,picture,"[""picture""]","{""raw_index"": 53, ""qa_index"": 0, ""image_id"": ""53"", ""full_answer"": ""The picture is on the wall."", ""num_available_qa_pairs"": 35}",True
gqa_93,gqa,gqa,Are there both a window and a door in this scene?,no,"[""no""]","{""raw_index"": 93, ""qa_index"": 0, ""image_id"": ""93"", ""full_answer"": ""No, there is a window but no doors."", ""num_available_qa_pairs"": 2}",True
gqa_57,gqa,gqa,Is the door white and closed?,no,"[""no""]","{""raw_index"": 57, ""qa_index"": 0, ""image_id"": ""57"", ""full_answer"": ""No, the door is white but open."", ""num_available_qa_pairs"": 13}",True
gqa_95,gqa,gqa,Are the container and the seat the same color?,no,"[""no""]","{""raw_index"": 95, ""qa_index"": 0, ""image_id"": ""95"", ""full_answer"": ""No, the container is green and the seat is white."", ""num_available_qa_pairs"": 13}",True
gqa_0,gqa,gqa,Are there any skateboards to the left of the chairs on the right?,no,"[""no""]","{""raw_index"": 0, ""qa_index"": 0, ""image_id"": ""0"", ""full_answer"": ""No, there is a motorcycle to the left of the chairs."", ""num_available_qa_pairs"": 6}",True
gqa_20,gqa,gqa,Do you see any dogs in the picture that are not brown?,yes,"[""yes""]","{""raw_index"": 20, ""qa_index"": 0, ""image_id"": ""20"", ""full_answer"": ""Yes, there is a white dog."", ""num_available_qa_pairs"": 9}",True
gqa_90,gqa,gqa,On which side is the toilet?,right,"[""right""]","{""raw_index"": 90, ""qa_index"": 0, ""image_id"": ""90"", ""full_answer"": ""The toilet is on the right of the image."", ""num_available_qa_pairs"": 1}",True
gqa_43,gqa,gqa,Are there any bottles to the right of the girl in the bottom of the photo?,yes,"[""yes""]","{""raw_index"": 43, ""qa_index"": 0, ""image_id"": ""43"", ""full_answer"": ""Yes, there is a bottle to the right of the girl."", ""num_available_qa_pairs"": 18}",True
gqa_79,gqa,gqa,On which side of the image are the people?,right,"[""right""]","{""raw_index"": 79, ""qa_index"": 0, ""image_id"": ""79"", ""full_answer"": ""The people are on the right of the image."", ""num_available_qa_pairs"": 6}",True
gqa_19,gqa,gqa,Is there any can or fence?,yes,"[""yes""]","{""raw_index"": 19, ""qa_index"": 0, ""image_id"": ""19"", ""full_answer"": ""Yes, there is a fence."", ""num_available_qa_pairs"": 6}",True
gqa_82,gqa,gqa,Which place is it?,ocean,"[""ocean""]","{""raw_index"": 82, ""qa_index"": 0, ""image_id"": ""82"", ""full_answer"": ""It is an ocean."", ""num_available_qa_pairs"": 13}",True
gqa_67,gqa,gqa,Who wears a shoe?,batter,"[""batter""]","{""raw_index"": 67, ""qa_index"": 0, ""image_id"": ""67"", ""full_answer"": ""The batter wears a shoe."", ""num_available_qa_pairs"": 5}",True
gqa_6,gqa,gqa,Is the brown food on the right side?,yes,"[""yes""]","{""raw_index"": 6, ""qa_index"": 0, ""image_id"": ""6"", ""full_answer"": ""Yes, the bun is on the right of the image."", ""num_available_qa_pairs"": 48}",True
gqa_5,gqa,gqa,Is there a knife to the right of the full beer next to the laptop computer?,no,"[""no""]","{""raw_index"": 5, ""qa_index"": 0, ""image_id"": ""5"", ""full_answer"": ""No, there is a keyboard to the right of the beer."", ""num_available_qa_pairs"": 15}",True
gqa_24,gqa,gqa,What is the color of the bridge?,green,"[""green""]","{""raw_index"": 24, ""qa_index"": 0, ""image_id"": ""24"", ""full_answer"": ""The bridge is green."", ""num_available_qa_pairs"": 8}",True
gqa_62,gqa,gqa,Are there motorbikes or cars?,no,"[""no""]","{""raw_index"": 62, ""qa_index"": 0, ""image_id"": ""62"", ""full_answer"": ""No, there are no motorbikes or cars."", ""num_available_qa_pairs"": 14}",True
gqa_22,gqa,gqa,Is the brown bag to the left of a towel?,no,"[""no""]","{""raw_index"": 22, ""qa_index"": 0, ""image_id"": ""22"", ""full_answer"": ""No, the bag is to the right of a towel."", ""num_available_qa_pairs"": 11}",True
gqa_68,gqa,gqa,What does this giraffe eat?,leaf,"[""leaf""]","{""raw_index"": 68, ""qa_index"": 0, ""image_id"": ""68"", ""full_answer"": ""The giraffe eats a leaf."", ""num_available_qa_pairs"": 3}",True
gqa_58,gqa,gqa,Is the container to the right of the candle pink and small?,yes,"[""yes""]","{""raw_index"": 58, ""qa_index"": 0, ""image_id"": ""58"", ""full_answer"": ""Yes, the container is pink and small."", ""num_available_qa_pairs"": 10}",True
gqa_38,gqa,gqa,Is the light lamp on the right side?,yes,"[""yes""]","{""raw_index"": 38, ""qa_index"": 0, ""image_id"": ""38"", ""full_answer"": ""Yes, the lamp is on the right of the image."", ""num_available_qa_pairs"": 26}",True
gqa_16,gqa,gqa,What color are the man boots?,gray,"[""gray""]","{""raw_index"": 16, ""qa_index"": 0, ""image_id"": ""16"", ""full_answer"": ""The boots are gray."", ""num_available_qa_pairs"": 15}",True
gqa_51,gqa,gqa,Do the wall and the computer have a different colors?,no,"[""no""]","{""raw_index"": 51, ""qa_index"": 0, ""image_id"": ""51"", ""full_answer"": ""No, both the wall and the computer are white."", ""num_available_qa_pairs"": 19}",True
gqa_2,gqa,gqa,What color is the light shirt?,brown,"[""brown""]","{""raw_index"": 2, ""qa_index"": 0, ""image_id"": ""2"", ""full_answer"": ""The shirt is brown."", ""num_available_qa_pairs"": 18}",True
gqa_46,gqa,gqa,Do you see chimneys on the roof of the house?,yes,"[""yes""]","{""raw_index"": 46, ""qa_index"": 0, ""image_id"": ""46"", ""full_answer"": ""Yes, there is a chimney on the roof."", ""num_available_qa_pairs"": 15}",True
gqa_99,gqa,gqa,Is the bread on the right side or on the left of the photo?,left,"[""left""]","{""raw_index"": 99, ""qa_index"": 0, ""image_id"": ""99"", ""full_answer"": ""The bread is on the left of the image."", ""num_available_qa_pairs"": 28}",True
gqa_34,gqa,gqa,Which kind of vehicle is it?,train,"[""train""]","{""raw_index"": 34, ""qa_index"": 0, ""image_id"": ""34"", ""full_answer"": ""The vehicle is a train."", ""num_available_qa_pairs"": 2}",True
gqa_7,gqa,gqa,Does the sky look cloudy?,no,"[""no""]","{""raw_index"": 7, ""qa_index"": 0, ""image_id"": ""7"", ""full_answer"": ""No, the sky is clear."", ""num_available_qa_pairs"": 1}",True
gqa_60,gqa,gqa,Is the man in the top part of the image?,no,"[""no""]","{""raw_index"": 60, ""qa_index"": 0, ""image_id"": ""60"", ""full_answer"": ""No, the man is in the bottom of the image."", ""num_available_qa_pairs"": 11}",True
gqa_61,gqa,gqa,What is the color of the mirror on the left?,blue,"[""blue""]","{""raw_index"": 61, ""qa_index"": 0, ""image_id"": ""61"", ""full_answer"": ""The mirror is blue."", ""num_available_qa_pairs"": 18}",True
gqa_66,gqa,gqa,Which side of the picture is the refrigerator on?,left,"[""left""]","{""raw_index"": 66, ""qa_index"": 0, ""image_id"": ""66"", ""full_answer"": ""The refrigerator is on the left of the image."", ""num_available_qa_pairs"": 8}",True
gqa_18,gqa,gqa,On which side of the picture is the happy person?,left,"[""left""]","{""raw_index"": 18, ""qa_index"": 0, ""image_id"": ""18"", ""full_answer"": ""The woman is on the left of the image."", ""num_available_qa_pairs"": 1}",True
gqa_40,gqa,gqa,What is growing on the shrub?,flowers,"[""flowers""]","{""raw_index"": 40, ""qa_index"": 0, ""image_id"": ""40"", ""full_answer"": ""The flowers are growing on the shrub."", ""num_available_qa_pairs"": 2}",True
gqa_39,gqa,gqa,Are there both a chair and a woman in the photo?,no,"[""no""]","{""raw_index"": 39, ""qa_index"": 0, ""image_id"": ""39"", ""full_answer"": ""No, there is a woman but no chairs."", ""num_available_qa_pairs"": 6}",True
gqa_23,gqa,gqa,How tall is the grass?,tall,"[""tall""]","{""raw_index"": 23, ""qa_index"": 0, ""image_id"": ""23"", ""full_answer"": ""The grass is tall."", ""num_available_qa_pairs"": 6}",True
gqa_36,gqa,gqa,Is the tap on the left side?,yes,"[""yes""]","{""raw_index"": 36, ""qa_index"": 0, ""image_id"": ""36"", ""full_answer"": ""Yes, the tap is on the left of the image."", ""num_available_qa_pairs"": 7}",True
gqa_12,gqa,gqa,What kind of vehicle is to the right of the clock?,carriage,"[""carriage""]","{""raw_index"": 12, ""qa_index"": 0, ""image_id"": ""12"", ""full_answer"": ""The vehicle is a carriage."", ""num_available_qa_pairs"": 12}",True
gqa_85,gqa,gqa,On which side of the picture is the brown rug?,right,"[""right""]","{""raw_index"": 85, ""qa_index"": 0, ""image_id"": ""85"", ""full_answer"": ""The rug is on the right of the image."", ""num_available_qa_pairs"": 5}",True
gqa_52,gqa,gqa,Is the pole behind a cow?,no,"[""no""]","{""raw_index"": 52, ""qa_index"": 0, ""image_id"": ""52"", ""full_answer"": ""No, the pole is behind the man."", ""num_available_qa_pairs"": 8}",True
gqa_98,gqa,gqa,Is the purse to the left of a person?,no,"[""no""]","{""raw_index"": 98, ""qa_index"": 0, ""image_id"": ""98"", ""full_answer"": ""No, the purse is to the right of a person."", ""num_available_qa_pairs"": 2}",True
gqa_44,gqa,gqa,Do the frisbee and the belt have the same color?,no,"[""no""]","{""raw_index"": 44, ""qa_index"": 0, ""image_id"": ""44"", ""full_answer"": ""No, the belt is black and the frisbee is white."", ""num_available_qa_pairs"": 11}",True
gqa_74,gqa,gqa,What clothing item is black?,jacket,"[""jacket""]","{""raw_index"": 74, ""qa_index"": 0, ""image_id"": ""74"", ""full_answer"": ""The clothing item is a jacket."", ""num_available_qa_pairs"": 26}",True
gqa_63,gqa,gqa,What kind of vehicle is this fence in front of?,truck,"[""truck""]","{""raw_index"": 63, ""qa_index"": 0, ""image_id"": ""63"", ""full_answer"": ""The fence is in front of the truck."", ""num_available_qa_pairs"": 36}",True
gqa_59,gqa,gqa,Are there any skyscrapers or cars?,yes,"[""yes""]","{""raw_index"": 59, ""qa_index"": 0, ""image_id"": ""59"", ""full_answer"": ""Yes, there is a skyscraper."", ""num_available_qa_pairs"": 3}",True
gqa_47,gqa,gqa,Which place is it?,garden,"[""garden""]","{""raw_index"": 47, ""qa_index"": 0, ""image_id"": ""47"", ""full_answer"": ""It is a garden."", ""num_available_qa_pairs"": 15}",True
gqa_8,gqa,gqa,Are there either bags or cars?,yes,"[""yes""]","{""raw_index"": 8, ""qa_index"": 0, ""image_id"": ""8"", ""full_answer"": ""Yes, there is a bag."", ""num_available_qa_pairs"": 16}",True
gqa_33,gqa,gqa,What fruits are orange?,oranges,"[""oranges""]","{""raw_index"": 33, ""qa_index"": 0, ""image_id"": ""33"", ""full_answer"": ""The fruits are oranges."", ""num_available_qa_pairs"": 8}",True
gqa_87,gqa,gqa,What does the person to the right of the person hold?,kite,"[""kite""]","{""raw_index"": 87, ""qa_index"": 0, ""image_id"": ""87"", ""full_answer"": ""The man holds the kite."", ""num_available_qa_pairs"": 23}",True
gqa_26,gqa,gqa,Is it clear?,no,"[""no""]","{""raw_index"": 26, ""qa_index"": 0, ""image_id"": ""26"", ""full_answer"": ""No, it is cloudy."", ""num_available_qa_pairs"": 11}",True
gqa_83,gqa,gqa,On which side of the image is the car?,left,"[""left""]","{""raw_index"": 83, ""qa_index"": 0, ""image_id"": ""83"", ""full_answer"": ""The car is on the left of the image."", ""num_available_qa_pairs"": 12}",True
gqa_49,gqa,gqa,Do you see either fences or skateboards in this photograph?,yes,"[""yes""]","{""raw_index"": 49, ""qa_index"": 0, ""image_id"": ""49"", ""full_answer"": ""Yes, there is a skateboard."", ""num_available_qa_pairs"": 10}",True
gqa_80,gqa,gqa,Could this place be a beach?,yes,"[""yes""]","{""raw_index"": 80, ""qa_index"": 0, ""image_id"": ""80"", ""full_answer"": ""Yes, it is a beach."", ""num_available_qa_pairs"": 14}",True
gqa_96,gqa,gqa,Is the curtain to the right or to the left of the cabinet that the paper towel is on?,left,"[""left""]","{""raw_index"": 96, ""qa_index"": 0, ""image_id"": ""96"", ""full_answer"": ""The curtain is to the left of the cabinet."", ""num_available_qa_pairs"": 26}",True
gqa_32,gqa,gqa,Is the microwave to the left of the refrigerator?,no,"[""no""]","{""raw_index"": 32, ""qa_index"": 0, ""image_id"": ""32"", ""full_answer"": ""No, the microwave is to the right of the refrigerator."", ""num_available_qa_pairs"": 10}",True
gqa_21,gqa,gqa,Which side of the photo is the salt shaker on?,right,"[""right""]","{""raw_index"": 21, ""qa_index"": 0, ""image_id"": ""21"", ""full_answer"": ""The salt shaker is on the right of the image."", ""num_available_qa_pairs"": 3}",True
gqa_30,gqa,gqa,Which color is the tennis racket?,blue,"[""blue""]","{""raw_index"": 30, ""qa_index"": 0, ""image_id"": ""30"", ""full_answer"": ""The tennis racket is blue."", ""num_available_qa_pairs"": 17}",True
gqa_37,gqa,gqa,Who is wearing a ring?,man,"[""man""]","{""raw_index"": 37, ""qa_index"": 0, ""image_id"": ""37"", ""full_answer"": ""The man is wearing a ring."", ""num_available_qa_pairs"": 12}",True
gqa_76,gqa,gqa,The person is where?,sidewalk,"[""sidewalk""]","{""raw_index"": 76, ""qa_index"": 0, ""image_id"": ""76"", ""full_answer"": ""The person is on the side walk."", ""num_available_qa_pairs"": 2}",True
gqa_92,gqa,gqa,Is the spoon to the left or to the right of the young boy?,right,"[""right""]","{""raw_index"": 92, ""qa_index"": 0, ""image_id"": ""92"", ""full_answer"": ""The spoon is to the right of the boy."", ""num_available_qa_pairs"": 24}",True
gqa_48,gqa,gqa,Is that surfboard wooden and large?,yes,"[""yes""]","{""raw_index"": 48, ""qa_index"": 0, ""image_id"": ""48"", ""full_answer"": ""Yes, the surfboard is wooden and large."", ""num_available_qa_pairs"": 20}",True
gqa_45,gqa,gqa,Is there either a fresh donut or pizza in this image?,yes,"[""yes""]","{""raw_index"": 45, ""qa_index"": 0, ""image_id"": ""45"", ""full_answer"": ""Yes, there are fresh donuts."", ""num_available_qa_pairs"": 6}",True
gqa_72,gqa,gqa,Is the device to the right of the speaker off or on?,on,"[""on""]","{""raw_index"": 72, ""qa_index"": 0, ""image_id"": ""72"", ""full_answer"": ""The screen is on."", ""num_available_qa_pairs"": 17}",True
gqa_56,gqa,gqa,What animal is standing under the tree in the field?,elephant,"[""elephant""]","{""raw_index"": 56, ""qa_index"": 0, ""image_id"": ""56"", ""full_answer"": ""The animal is an elephant."", ""num_available_qa_pairs"": 12}",True
gqa_55,gqa,gqa,The car that the bus is in front of is what color?,blue,"[""blue""]","{""raw_index"": 55, ""qa_index"": 0, ""image_id"": ""55"", ""full_answer"": ""The car is blue."", ""num_available_qa_pairs"": 12}",True
gqa_10,gqa,gqa,Are there rackets in this photo that are white?,no,"[""no""]","{""raw_index"": 10, ""qa_index"": 0, ""image_id"": ""10"", ""full_answer"": ""No, there is a racket but it is black."", ""num_available_qa_pairs"": 12}",True
gqa_73,gqa,gqa,Is the blue water murky or clear?,clear,"[""clear""]","{""raw_index"": 73, ""qa_index"": 0, ""image_id"": ""73"", ""full_answer"": ""The water is clear."", ""num_available_qa_pairs"": 19}",True
gqa_78,gqa,gqa,On which side is the pedestrian?,left,"[""left""]","{""raw_index"": 78, ""qa_index"": 0, ""image_id"": ""78"", ""full_answer"": ""The pedestrian is on the left of the image."", ""num_available_qa_pairs"": 26}",True
